id_sac,id_cliente,data,comentario
1,5607,2023-04-24,"O entregador jogou o pacote por cima do muro, quebrou a tela."
2,8615,2023-08-01,"Não comprem, é uma cilada. O suporte não ajuda."
3,5376,2023-09-01,"Não comprem, é uma cilada. O suporte não ajuda."
4,7852,2023-10-21,Faltou uma peça no meu pedido de móveis. Absurdo!
5,8484,2023-05-20,"Tive problema com a transportadora, mas resolveram rápido."
6,5290,2023-07-23,"Gostei muito, top demais o celular novo."
7,9558,2023-08-15,Faltou uma peça no meu pedido de móveis. Absurdo!
8,9783,2023-03-15,"Não comprem, é uma cilada. O suporte não ajuda."
9,4767,2023-01-18,"Não comprem, é uma cilada. O suporte não ajuda."
10,8663,2023-12-07,"Não comprem, é uma cilada. O suporte não ajuda."
11,2311,2023-01-22,Faltou uma peça no meu pedido de móveis. Absurdo!
12,1001,2023-03-19,"Tive problema com a transportadora, mas resolveram rápido."
13,2211,2023-05-17,"Péssimo serviço, não voltarei a comprar. Não recomendo."
14,8838,2023-07-04,"A entrega atrasou demais, estou muito insatisfeito."
15,7160,2023-05-09,"Produto excelente, chegou antes do prazo!"
16,8002,2023-06-07,"Não comprem, é uma cilada. O suporte não ajuda."
17,5555,2023-07-18,"A entrega atrasou demais, estou muito insatisfeito."
18,6377,2023-05-12,Faltou uma peça no meu pedido de móveis. Absurdo!
19,4521,2023-07-01,Faltou uma peça no meu pedido de móveis. Absurdo!
20,5014,2023-12-27,"O entregador jogou o pacote por cima do muro, quebrou a tela."
21,5011,2023-06-09,"Não comprem, é uma cilada. O suporte não ajuda."
22,3563,2023-05-27,"O entregador jogou o pacote por cima do muro, quebrou a tela."
23,4798,2023-04-19,"Achei meio paia, demorou mo cota pra chegar."
24,9700,2023-02-26,"Não comprem, é uma cilada. O suporte não ajuda."
25,9284,2023-04-29,Faltou uma peça no meu pedido de móveis. Absurdo!
26,9372,2023-08-25,"Tive problema com a transportadora, mas resolveram rápido."
27,7297,2023-10-22,"Tive problema com a transportadora, mas resolveram rápido."
28,8972,2023-02-23,"Produto excelente, chegou antes do prazo!"
29,7077,2023-11-25,"Não comprem, é uma cilada. O suporte não ajuda."
30,3301,2023-09-16,"A entrega atrasou demais, estou muito insatisfeito."
31,9300,2023-09-08,"Não comprem, é uma cilada. O suporte não ajuda."
32,9757,2023-04-15,"Produto excelente, chegou antes do prazo!"
33,3563,2023-01-19,"A entrega atrasou demais, estou muito insatisfeito."
34,5654,2023-03-21,"Gostei muito, top demais o celular novo."
35,1592,2023-09-18,"Achei meio paia, demorou mo cota pra chegar."
36,1813,2023-04-30,"Não comprem, é uma cilada. O suporte não ajuda."
37,8585,2023-01-30,"Produto excelente, chegou antes do prazo!"
38,6219,2023-08-16,"A entrega atrasou demais, estou muito insatisfeito."
39,9449,2023-06-13,Tudo ok.
40,6491,2023-10-11,"Não comprem, é uma cilada. O suporte não ajuda."
41,2148,2023-08-05,"A entrega atrasou demais, estou muito insatisfeito."
42,1161,2023-10-08,Faltou uma peça no meu pedido de móveis. Absurdo!
43,3199,2023-10-27,"Não comprem, é uma cilada. O suporte não ajuda."
44,8372,2023-11-13,Tudo ok.
45,3448,2023-01-11,Tudo ok.
46,6855,2023-01-19,Tudo ok.
47,7011,2023-05-01,"A entrega atrasou demais, estou muito insatisfeito."
48,2051,2023-04-29,"Não comprem, é uma cilada. O suporte não ajuda."
49,6717,2023-06-26,"Gostei muito, top demais o celular novo."
50,7257,2023-05-28,"Gostei muito, top demais o celular novo."
51,8219,2023-09-28,Tudo ok.
52,1107,2023-01-07,"Gostei muito, top demais o celular novo."
53,7388,2023-10-31,"Gostei muito, top demais o celular novo."
54,8512,2023-10-19,"A entrega atrasou demais, estou muito insatisfeito."
55,2065,2023-12-29,"Péssimo serviço, não voltarei a comprar. Não recomendo."
56,5583,2023-02-17,"Produto excelente, chegou antes do prazo!"
57,4364,2023-03-24,"Achei meio paia, demorou mo cota pra chegar."
58,5875,2023-03-17,"Achei meio paia, demorou mo cota pra chegar."
59,5816,2023-10-14,"Achei meio paia, demorou mo cota pra chegar."
60,7845,2023-02-10,Faltou uma peça no meu pedido de móveis. Absurdo!
61,2421,2023-10-02,"Péssimo serviço, não voltarei a comprar. Não recomendo."
